seg,iter,div_round,nid,fit_cur,fit_best_global,fit_best_segment,improved,multi_visit,best_multi_fit
6,19,0,0,138.626,138.626,138.626,0,1,138.626
6,20,0,1,144.111,138.626,138.626,0,0,138.626
6,21,0,0,138.626,138.626,138.626,0,0,138.626
6,22,0,1,150.626,138.626,138.626,0,1,138.626
6,23,0,0,138.626,138.626,138.626,0,0,138.626
6,24,0,1,156,138.626,138.626,0,1,138.626
6,25,0,0,138.626,138.626,138.626,0,0,138.626
6,26,0,0,138.1,138.1,138.1,1,0,138.626
6,27,0,0,140,138.1,138.1,0,0,138.626
6,28,0,0,140,138.1,138.1,0,0,138.626
6,29,0,0,147.111,138.1,138.1,0,0,138.626
6,30,0,0,140,138.1,138.1,0,0,138.626
6,31,0,0,144,138.1,138.1,0,1,138.626
6,32,0,0,144,138.1,138.1,0,1,138.626
6,33,0,0,144,138.1,138.1,0,1,138.626
7,0,0,1,140,138.1,138.1,0,0,138.626
7,1,0,1,138.626,138.1,138.1,0,1,138.626
7,2,0,1,140,138.1,138.1,0,0,138.626
7,3,0,2,143.111,138.1,138.1,0,1,138.626
7,4,0,2,145.1,138.1,138.1,0,1,138.626
7,5,0,1,144,138.1,138.1,0,1,138.626
7,6,0,1,144,138.1,138.1,0,1,138.626
7,7,0,0,140,138.1,138.1,0,0,138.626
7,8,0,2,144.342,138.1,138.1,0,0,138.626
7,9,0,0,140,138.1,138.1,0,0,138.626
7,10,0,1,144,138.1,138.1,0,1,138.626
7,11,0,0,140,138.1,138.1,0,0,138.626
8,0,0,0,140,138.1,138.1,0,0,138.626
8,1,0,1,140,138.1,138.1,0,0,138.626
8,2,0,2,143.111,138.1,138.1,0,1,138.626
8,3,0,1,138.626,138.1,138.1,0,1,138.626
8,4,0,2,145.1,138.1,138.1,0,1,138.626
8,5,0,0,140,138.1,138.1,0,0,138.626
8,6,0,0,140,138.1,138.1,0,0,138.626
8,7,0,1,140,138.1,138.1,0,0,138.626
8,8,0,1,144,138.1,138.1,0,1,138.626
8,9,0,2,144.342,138.1,138.1,0,0,138.626
8,10,0,1,144,138.1,138.1,0,1,138.626
9,0,0,0,140,138.1,138.1,0,0,138.626
9,1,0,0,140,138.1,138.1,0,0,138.626
9,2,0,2,143.111,138.1,138.1,0,1,138.626
9,3,0,2,145.1,138.1,138.1,0,1,138.626
9,4,0,2,144.342,138.1,138.1,0,0,138.626
9,5,0,0,140,138.1,138.1,0,0,138.626
9,6,0,2,148,138.1,138.1,0,1,138.626
10,0,0,0,140,138.1,138.1,0,0,138.626
10,1,0,2,143.111,138.1,138.1,0,1,138.626
10,2,0,1,140,138.1,138.1,0,0,138.626
10,3,0,0,140,138.1,138.1,0,0,138.626
10,4,0,0,140,138.1,138.1,0,0,138.626
10,5,0,2,145.1,138.1,138.1,0,1,138.626
10,6,0,0,140,138.1,138.1,0,0,138.626
10,7,0,0,144,138.1,138.1,0,1,138.626
-1,-1,0,-1,138.1,138.1,138.1,0,0,138.626
0,0,1,1,140,138.1,138.1,0,0,138.626
0,1,1,0,140,138.1,138.1,0,0,138.626
0,2,1,0,140,138.1,138.1,0,0,138.626
0,3,1,2,143.111,138.1,138.1,0,1,138.626
0,4,1,1,138.626,138.1,138.1,0,1,138.626
0,5,1,1,140,138.1,138.1,0,0,138.626
0,6,1,0,140,138.1,138.1,0,0,138.626
0,7,1,1,144,138.1,138.1,0,1,138.626
0,8,1,1,144,138.1,138.1,0,1,138.626
0,9,1,2,145.1,138.1,138.1,0,1,138.626
0,10,1,1,144,138.1,138.1,0,1,138.626
0,11,1,1,140,138.1,138.1,0,0,138.626
1,0,1,1,140,138.1,138.1,0,0,138.626
1,1,1,1,138.626,138.1,138.1,0,1,138.626
1,2,1,1,140,138.1,138.1,0,0,138.626
1,3,1,0,140,138.1,138.1,0,0,138.626
1,4,1,2,143.111,138.1,138.1,0,1,138.626
1,5,1,0,140,138.1,138.1,0,0,138.626
1,6,1,1,144,138.1,138.1,0,1,138.626
1,7,1,0,140,138.1,138.1,0,0,138.626
1,8,1,0,140,138.1,138.1,0,0,138.626
